Tijdslot,Zaal,Vak,Activiteit,Student
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Franke Stoppels
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Ard Tielemans
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Deejay van der Geer
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Aynel van der Marel
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Agelo van der Meer
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Berit van Ingen
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Jodi van Riel
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Julot van Teeffelen
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Laurent Wallenburg
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Yuna Winkelaar
monday 9-11,B0.201,Algoritmen en complexiteit,Lecture 1,Gabriella Yazici
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Roan Meulmeester
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Umar Grift
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Herwin Ester
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Virginie Brunsveld
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Abdallah Beulen
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Luciana Putters
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Resul Kuijpers
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Deacon Gielissen
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Deejay van der Geer
monday 9-11,C0.110,Autonomous Agents 2,Lab 2,Rhona Vromans
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Yde Christiaens
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Tamar Jongbloed
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Patryk van de Kraats
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Mies Westra
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Jaro Essink
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Eylem Haas
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Yi Luten
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Arianna Tettero
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Wytske Buining
monday 9-11,C1.112,Programmeren in Java 2,Lab 6,Cherilyn van Amelsvoort
monday 11-13,A1.04,Data Mining,Tutorial 2,Jetty van Putten
monday 11-13,A1.04,Data Mining,Tutorial 2,Ans van Montfort
monday 11-13,A1.04,Data Mining,Tutorial 2,Mahmud Heller
monday 11-13,A1.04,Data Mining,Tutorial 2,Yanick Abbing
monday 11-13,A1.04,Data Mining,Tutorial 2,Andre Putters
monday 11-13,A1.04,Data Mining,Tutorial 2,Remon Kost
monday 11-13,A1.04,Data Mining,Tutorial 2,Sayfeddine Bruijnes
monday 11-13,A1.04,Data Mining,Tutorial 2,Kyan Jankie
monday 11-13,A1.04,Data Mining,Tutorial 2,Jayme van Eeuwijk
monday 11-13,A1.04,Data Mining,Tutorial 2,Marise Zonneveld
monday 11-13,A1.06,Data Mining,Lab 3,Theadora Besemer
monday 11-13,A1.06,Data Mining,Lab 3,Rins Oosterbeek
monday 11-13,A1.06,Data Mining,Lab 3,Andre Putters
monday 11-13,A1.06,Data Mining,Lab 3,Sayfeddine Bruijnes
monday 11-13,A1.06,Data Mining,Lab 3,Johannus van Bavel
monday 11-13,A1.06,Data Mining,Lab 3,Ans van Montfort
monday 11-13,A1.06,Data Mining,Lab 3,Mahmud Heller
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Wytske Buining
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Silvy Schrauwen
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Wulfert Brinksma
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Nadia Lems
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Ynte van Berkom
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Juan van Eijndhoven
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Angle Berentsen
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Raja Tijhof
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Chelly van der Doelen
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Marck Soekhai
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Liana Charita
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Eltjo Beunen
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Le Janga
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Cemil van Barneveld
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Esme Karim
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Haiko Raaijmakers
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Gabriella Yazici
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Seval van Leussen
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Robbie van de Geijn
monday 11-13,A1.08,Reflectie op de digitale cultuur,Tutorial 2,Leida van de Ridder
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Rein Leidelmeijer
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Maryam Wiegmans
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Djuri Korpershoek
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Patryk van de Kraats
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Jodi van Riel
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Virginie Brunsveld
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Silvy Schrauwen
